id,name,company,logo,intro,city,district,subcategory,skills,years,education,position,workDays,salaryMin,salaryMax,applicants,postedDaysAgo,popularity,recommendScore,url
1,"백엔드 서버 개발자 (Java/Kotlin)","토스","💜","간편송금·결제 트래픽을 처리하는 핵심 서버를 함께 만들어요.","서울","강남구","서버","Java|Kotlin|Spring","3~5년","학력무관","대리","주 5일(재택 2일)",5000,7500,128,1,98,92,https://www.wanted.co.kr/wd/1
2,"프론트엔드 개발자 (React)","당근마켓","🥕","동네 이웃을 연결하는 서비스의 웹 프론트엔드를 개발합니다.","서울","서초구","프론트엔드","React|TypeScript","1~3년","학력무관","주임","주 5일(재택 2일)",4200,6000,94,2,95,90,https://www.wanted.co.kr/wd/2
3,"iOS 앱 개발자","무신사","🖤","패션 커머스 앱의 쇼핑 경험을 iOS로 구현합니다.","서울","성동구","iOS","Swift|SwiftUI","3~5년","학력무관","대리","주 5일",5500,8000,61,5,91,88,https://www.wanted.co.kr/wd/3
4,"안드로이드 앱 개발자","야놀자","🌙","숙소 예약 앱의 신규 기능을 안드로이드로 개발합니다.","경기","성남시 분당구","안드로이드","Kotlin|Jetpack Compose","1~3년","학력무관","주임","주 5일",4500,6500,73,3,88,80,https://www.wanted.co.kr/wd/4
5,"데이터 엔지니어","쿠팡","🚚","대용량 물류 데이터 파이프라인을 설계하고 운영합니다.","서울","송파구","데이터","Python|Spark|Airflow","5년이상","대졸 이상","과장","주 5일",6500,9500,40,8,85,95,https://www.wanted.co.kr/wd/5
6,"DevOps 엔지니어","카카오","💛","서비스 배포 파이프라인과 인프라 자동화를 담당합니다.","경기","성남시 분당구","DevOps","Docker|Kubernetes|AWS","3~5년","학력무관","대리","주 5일(재택 2일)",5800,8200,55,4,82,85,https://www.wanted.co.kr/wd/6
7,"백엔드 서버 개발자 (Node.js)","우아한형제들","🍔","배달 주문 시스템의 신규 서비스 서버를 개발합니다.","서울","송파구","서버","Node.js|TypeScript","신입","학력무관","사원","주 5일",3800,4800,210,1,79,70,https://www.wanted.co.kr/wd/7
8,"프론트엔드 개발자 (Vue)","뱅크샐러드","🥗","자산관리 서비스의 대시보드 화면을 개발합니다.","서울","강남구","프론트엔드","Vue|JavaScript","1~3년","학력무관","주임","주 5일",4000,5500,66,6,76,75,https://www.wanted.co.kr/wd/8
9,"백엔드 서버 개발자","컬리","🥬","새벽배송 주문·재고 시스템 서버를 개발합니다.","부산","해운대구","서버","Java|Spring|MySQL","3~5년","학력무관","대리","주 5일",4800,6800,33,10,70,65,https://www.wanted.co.kr/wd/9
10,"iOS 앱 개발자","두나무","🪙","실시간 시세를 보여주는 거래소 앱을 iOS로 개발합니다.","서울","강남구","iOS","Swift|RxSwift","5년이상","대졸 이상","과장","주 5일",6800,9800,28,7,68,78,https://www.wanted.co.kr/wd/10
11,"데이터 엔지니어","라인","💚","글로벌 메신저 로그 데이터 처리 파이프라인을 만듭니다.","경기","성남시 분당구","데이터","Python|Kafka","1~3년","학력무관","주임","주 5일(재택 2일)",4600,6200,45,3,63,72,https://www.wanted.co.kr/wd/11
12,"안드로이드 앱 개발자","네이버","🟢","국내 대표 포털의 모바일 앱 신규 기능을 개발합니다.","경기","성남시 분당구","안드로이드","Kotlin|Coroutine","3~5년","대졸 이상","대리","주 5일(재택 2일)",5500,7800,52,2,60,82,https://www.wanted.co.kr/wd/12
13,"DevOps 엔지니어","부산은행","🏦","금융권 클라우드 전환 프로젝트의 인프라를 담당합니다.","부산","남구","DevOps","Jenkins|AWS","3~5년","대졸 이상","대리","주 5일",5000,7000,19,12,55,60,https://www.wanted.co.kr/wd/13
14,"백엔드 서버 개발자","인천정보산업진흥원","🏢","지역 공공 서비스 플랫폼의 서버를 개발합니다.","인천","연수구","서버","Java|Spring Boot","신입","학력무관","사원","주 5일",3500,4200,87,1,50,55,https://www.wanted.co.kr/wd/14
15,"프론트엔드 개발자","대구디지털산업진흥원","🏛️","지역 디지털 전환 사업의 웹 서비스를 개발합니다.","대구","동구","프론트엔드","React|Next.js","1~3년","학력무관","주임","주 5일",3800,5000,24,9,45,58,https://www.wanted.co.kr/wd/15
